"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","10 Jul 2024","23124.15","23125.3","22685.65","22977.65"
"NIFTY 500","09 Jul 2024","23035.05","23082.35","22974.95","23067.35"
"NIFTY 500","08 Jul 2024","23029.35","23040.75","22897.95","22971.15"
"NIFTY 500","05 Jul 2024","22878.5","23011.8","22838.2","22987.65"
"NIFTY 500","04 Jul 2024","22937.6","22962.8","22866.7","22914.20"
"NIFTY 500","03 Jul 2024","22820.55","22871.65","22764.1","22851.20"
"NIFTY 500","02 Jul 2024","22806.3","22810.65","22592.2","22677.80"
"NIFTY 500","01 Jul 2024","22580.4","22739.7","22570.4","22727.60"
"NIFTY 500","28 Jun 2024","22592.25","22673.65","22537.7","22559.70"
"NIFTY 500","27 Jun 2024","22459.9","22571.65","22395.9","22537.40"
"NIFTY 500","26 Jun 2024","22379.5","22464.85","22309.5","22436.80"
"NIFTY 500","25 Jun 2024","22349.75","22391.75","22287.1","22370.65"
"NIFTY 500","24 Jun 2024","22150.65","22309.1","22073.65","22289.10"
"NIFTY 500","21 Jun 2024","22392.6","22393.3","22186.2","22236.20"
"NIFTY 500","20 Jun 2024","22293.55","22333.6","22182.2","22305.10"
"NIFTY 500","19 Jun 2024","22406.3","22406.3","22127.25","22224.90"
"NIFTY 500","18 Jun 2024","22323.55","22338.15","22253.35","22329.60"
"NIFTY 500","14 Jun 2024","22148.25","22229.4","22054.15","22214.30"
"NIFTY 500","13 Jun 2024","22120.75","22120.8","21992.15","22074.30"
"NIFTY 500","12 Jun 2024","21935.2","22023.9","21904.7","21960.95"
"NIFTY 500","11 Jun 2024","21856.35","21961.45","21782.35","21852.00"
"NIFTY 500","10 Jun 2024","21844.3","21930.5","21758.3","21808.25"
"NIFTY 500","07 Jun 2024","21390.2","21781.35","21333.5","21764.15"
"NIFTY 500","06 Jun 2024","21253.7","21462.8","21193.2","21365.00"
"NIFTY 500","05 Jun 2024","20570.75","21092.15","20116.6","21054.40"
"NIFTY 500","04 Jun 2024","21753.35","21753.35","19624.25","20323.85"
"NIFTY 500","03 Jun 2024","21926.6","21926.6","21629.3","21797.40"
"NIFTY 500","31 May 2024","21129.35","21177.25","21003","21103.30"
"NIFTY 500","30 May 2024","21201.8","21262.85","20983.95","21038.55"
"NIFTY 500","29 May 2024","21288.35","21356.15","21243.2","21256.30"
"NIFTY 500","28 May 2024","21542.5","21558.15","21345.35","21387.35"
"NIFTY 500","27 May 2024","21573.8","21613.6","21439.15","21493.00"
"NIFTY 500","24 May 2024","21483","21567.45","21444.95","21483.75"
"NIFTY 500","23 May 2024","21280.05","21505.25","21249.15","21489.55"
"NIFTY 500","22 May 2024","21255.2","21261.75","21103.2","21237.75"
"NIFTY 500","21 May 2024","21114.65","21224.7","21068.85","21187.65"
"NIFTY 500","18 May 2024","21131.45","21156.45","21115.8","21144.45"
"NIFTY 500","17 May 2024","20967.4","21078.65","20934.45","21064.55"
"NIFTY 500","16 May 2024","20846.85","20950.55","20667.8","20929.05"
"NIFTY 500","15 May 2024","20744.5","20811.25","20681.9","20741.85"
"NIFTY 500","14 May 2024","20544.35","20709.75","20508","20683.80"
"NIFTY 500","13 May 2024","20471.65","20540.25","20184.1","20511.00"
"NIFTY 500","10 May 2024","20398","20482.05","20299.1","20469.10"
"NIFTY 500","09 May 2024","20681.1","20736.25","20318.9","20344.80"
"NIFTY 500","08 May 2024","20586.8","20768.75","20516.25","20704.90"
"NIFTY 500","07 May 2024","20911.35","20914.9","20548.8","20636.05"
"NIFTY 500","06 May 2024","21044.1","21048.95","20805.05","20864.95"
"NIFTY 500","03 May 2024","21193.45","21208.7","20830.65","20959.55"
"NIFTY 500","02 May 2024","21010.45","21126.1","21009.35","21083.60"
"NIFTY 500","30 Apr 2024","21052.35","21146.5","20971.85","20997.20"
"NIFTY 500","29 Apr 2024","20911.1","21002.1","20847.85","20992.20"
"NIFTY 500","26 Apr 2024","20926.4","20941.1","20814.5","20839.35"
"NIFTY 500","25 Apr 2024","20690.85","20894","20686.7","20867.90"
"NIFTY 500","24 Apr 2024","20723.2","20772.55","20710.2","20730.65"
"NIFTY 500","23 Apr 2024","20687.9","20689.75","20621.55","20652.65"
"NIFTY 500","22 Apr 2024","20566.2","20604.1","20468.1","20574.85"
"NIFTY 500","19 Apr 2024","20178.25","20428.4","20038.35","20385.20"
"NIFTY 500","18 Apr 2024","20515.15","20617.1","20291.15","20324.70"
"NIFTY 500","16 Apr 2024","20361.25","20495.2","20326.25","20423.00"
"NIFTY 500","15 Apr 2024","20493.3","20623.8","20362.3","20478.75"
"NIFTY 500","12 Apr 2024","20873.2","20931.4","20735.15","20745.50"
"NIFTY 500","10 Apr 2024","20864.55","20933.85","20822.85","20915.20"
"NIFTY 500","09 Apr 2024","20912.75","20912.75","20741.50","20790.70"
"NIFTY 500","08 Apr 2024","20806.85","20866.10","20768.50","20819.10"
"NIFTY 500","05 Apr 2024","20654.75","20730.15","20609.90","20715.10"
"NIFTY 500","04 Apr 2024","20755.35","20772.40","20537.50","20664.65"
"NIFTY 500","03 Apr 2024","20528.20","20657.90","20496.55","20605.70"
"NIFTY 500","02 Apr 2024","20524.15","20579.25","20481.85","20569.75"
"NIFTY 500","01 Apr 2024","20392.25","20504.50","20387.05","20492.55"
"NIFTY 500","28 Mar 2024","20150.35","20380.50","20146.15","20255.15"
"NIFTY 500","27 Mar 2024","20063.00","20174.40","20063.00","20087.80"
"NIFTY 500","26 Mar 2024","19895.55","20044.50","19895.30","20005.25"
"NIFTY 500","22 Mar 2024","19855.00","20048.60","19806.70","19994.60"
"NIFTY 500","21 Mar 2024","19790.85","19916.45","19790.85","19897.40"
"NIFTY 500","20 Mar 2024","19651.70","19697.45","19465.85","19632.05"
"NIFTY 500","19 Mar 2024","19785.80","19798.95","19594.10","19610.55"
"NIFTY 500","18 Mar 2024","19804.30","19894.45","19709.20","19843.10"
"NIFTY 500","15 Mar 2024","19867.75","19942.40","19671.15","19825.20"
"NIFTY 500","14 Mar 2024","19598.40","19933.90","19514.70","19916.35"
"NIFTY 500","13 Mar 2024","20236.80","20247.90","19549.50","19646.30"
"NIFTY 500","12 Mar 2024","20299.80","20326.25","20135.30","20171.40"
"NIFTY 500","11 Mar 2024","20478.75","20483.25","20264.30","20288.75"
"NIFTY 500","07 Mar 2024","20413.65","20471.35","20384.50","20434.80"
"NIFTY 500","06 Mar 2024","20368.75","20396.75","20139.35","20379.55"
"NIFTY 500","05 Mar 2024","20422.30","20440.40","20328.00","20382.00"
"NIFTY 500","04 Mar 2024","20456.75","20482.60","20383.15","20432.05"
"NIFTY 500","02 Mar 2024","20419.55","20446.80","20400.20","20421.35"
"NIFTY 500","01 Mar 2024","20171.90","20360.20","20171.00","20349.80"
"NIFTY 500","29 Feb 2024","20009.25","20160.05","19901.30","20090.05"
"NIFTY 500","28 Feb 2024","20323.50","20335.65","19987.35","20020.40"
"NIFTY 500","27 Feb 2024","20249.25","20329.10","20234.95","20292.85"
"NIFTY 500","26 Feb 2024","20299.50","20335.75","20210.35","20255.80"
"NIFTY 500","23 Feb 2024","20358.70","20365.65","20280.15","20313.50"
"NIFTY 500","22 Feb 2024","20179.25","20308.90","20004.10","20283.95"
"NIFTY 500","21 Feb 2024","20329.10","20342.30","20077.80","20128.30"
"NIFTY 500","20 Feb 2024","20242.65","20285.80","20190.70","20271.90"
"NIFTY 500","19 Feb 2024","20244.25","20301.00","20174.90","20241.10"
"NIFTY 500","16 Feb 2024","20136.85","20191.45","20098.10","20164.90"
"NIFTY 500","15 Feb 2024","20011.70","20065.75","19952.00","20037.00"
"NIFTY 500","14 Feb 2024","19618.10","19943.75","19579.20","19922.30"
"NIFTY 500","13 Feb 2024","19709.80","19796.05","19508.75","19782.90"
"NIFTY 500","12 Feb 2024","19999.95","20015.00","19634.60","19675.20"
"NIFTY 500","09 Feb 2024","20015.00","20040.65","19745.45","19961.50"
"NIFTY 500","08 Feb 2024","20207.55","20209.05","19949.35","19987.55"
"NIFTY 500","07 Feb 2024","20157.20","20169.90","20011.45","20109.55"
"NIFTY 500","06 Feb 2024","19923.20","20044.45","19824.85","20033.75"
"NIFTY 500","05 Feb 2024","19989.65","20044.00","19805.75","19853.50"
"NIFTY 500","02 Feb 2024","19884.65","20101.15","19874.80","19910.80"
"NIFTY 500","01 Feb 2024","19869.95","19871.25","19703.75","19777.35"
"NIFTY 500","31 Jan 2024","19574.15","19813.30","19546.40","19802.10"
"NIFTY 500","30 Jan 2024","19770.25","19799.25","19558.80","19574.20"
"NIFTY 500","29 Jan 2024","19475.40","19728.90","19470.05","19711.65"
"NIFTY 500","25 Jan 2024","19479.65","19480.05","19289.80","19393.00"
"NIFTY 500","24 Jan 2024","19193.15","19470.65","19080.50","19451.00"
"NIFTY 500","23 Jan 2024","19743.50","19752.35","19158.75","19206.45"
"NIFTY 500","20 Jan 2024","19698.05","19718.70","19582.70","19601.90"
"NIFTY 500","19 Jan 2024","19555.95","19618.95","19537.15","19606.40"
"NIFTY 500","18 Jan 2024","19388.40","19468.65","19143.50","19414.80"
"NIFTY 500","17 Jan 2024","19556.40","19707.70","19470.05","19487.60"
"NIFTY 500","16 Jan 2024","19894.30","19923.30","19736.20","19827.55"
"NIFTY 500","15 Jan 2024","19876.50","19896.90","19763.80","19885.55"
"NIFTY 500","12 Jan 2024","19691.25","19775.90","19635.75","19745.60"
"NIFTY 500","11 Jan 2024","19589.75","19626.50","19532.30","19584.35"
"NIFTY 500","10 Jan 2024","19463.55","19532.30","19354.10","19517.85"
"NIFTY 500","09 Jan 2024","19549.50","19596.05","19439.10","19459.55"
"NIFTY 500","08 Jan 2024","19636.00","19641.85","19400.60","19417.70"
"NIFTY 500","05 Jan 2024","19602.10","19637.10","19490.95","19590.60"
"NIFTY 500","04 Jan 2024","19451.80","19560.40","19433.50","19541.25"
"NIFTY 500","03 Jan 2024","19434.30","19442.20","19343.15","19367.15"
"NIFTY 500","02 Jan 2024","19496.80","19499.80","19271.65","19418.40"
"NIFTY 500","01 Jan 2024","19452.00","19543.25","19421.40","19469.50"
"NIFTY 500","29 Dec 2023","19394.50","19450.10","19338.35","19429.15"
"NIFTY 500","28 Dec 2023","19358.35","19414.55","19313.10","19399.25"
"NIFTY 500","27 Dec 2023","19219.40","19312.30","19189.80","19296.95"
"NIFTY 500","26 Dec 2023","19095.00","19173.80","19059.40","19148.85"
"NIFTY 500","22 Dec 2023","19011.25","19089.95","18934.75","19054.70"
"NIFTY 500","21 Dec 2023","18647.85","18965.80","18582.95","18941.80"
"NIFTY 500","20 Dec 2023","19264.40","19303.60","18727.10","18779.45"
"NIFTY 500","19 Dec 2023","19212.55","19213.55","19067.20","19169.25"
"NIFTY 500","18 Dec 2023","19149.15","19201.55","19073.10","19155.55"
"NIFTY 500","15 Dec 2023","19071.95","19165.10","19020.55","19145.05"
"NIFTY 500","14 Dec 2023","18906.40","18996.25","18893.75","18973.85"
"NIFTY 500","13 Dec 2023","18723.70","18770.45","18601.50","18751.45"
"NIFTY 500","12 Dec 2023","18809.90","18819.70","18635.35","18686.80"
"NIFTY 500","11 Dec 2023","18726.35","18780.45","18710.15","18770.20"
"NIFTY 500","08 Dec 2023","18752.25","18785.70","18588.15","18703.50"
"NIFTY 500","07 Dec 2023","18696.75","18721.80","18619.75","18703.85"
"NIFTY 500","06 Dec 2023","18677.25","18698.80","18594.40","18680.00"
"NIFTY 500","05 Dec 2023","18541.30","18594.90","18453.65","18588.55"
"NIFTY 500","04 Dec 2023","18422.35","18460.00","18315.45","18448.50"
"NIFTY 500","01 Dec 2023","18061.80","18141.65","18053.15","18115.35"
"NIFTY 500","30 Nov 2023","17926.90","18007.10","17845.90","17987.95"
"NIFTY 500","29 Nov 2023","17831.65","17911.35","17823.45","17904.10"
"NIFTY 500","28 Nov 2023","17701.05","17760.00","17665.65","17741.80"
"NIFTY 500","24 Nov 2023","17661.30","17684.15","17631.75","17643.50"
"NIFTY 500","23 Nov 2023","17654.15","17693.25","17627.35","17639.40"
